id_delito,fecha,franja_horaria,tipo,subtipo,uso_armas,t_respuesta (min),arresto,Id_arresto,Id_oficial,barrio,comuna,latitud,longitud,victimas
DEL1000647073,1/1/2021,4,Robo (con violencia),,,37,no,,1100138,Flores,7,-34.627954,-58.459858,0
DEL1000647074,1/1/2021,9,Robo (con violencia),,,140,no,,1100168,Boca,4,-34.637921,-58.366483,0
DEL1000647075,1/1/2021,6,Robo (con violencia),Con uso de moto,,41,no,,1100155,Constitución,1,-34.621743,-58.390017,0
DEL1000647076,1/1/2021,7,Robo (con violencia),,,68,no,,1100375,Saavedra,12,-34.551779,-58.484049,0
DEL1000647077,1/1/2021,8,Robo (con violencia),,,154,no,,1100328,Villa Urquiza,12,-34.567887,-58.47529,0
DEL1000647078,1/1/2021,6,Robo (con violencia),,Arma de fuego,121,no,,1100195,Parque Chacabuco,7,-34.640252,-58.424207,0
DEL1000647079,1/1/2021,9,Robo (con violencia),,,123,si,ARR0217714,1100254,Retiro,1,-34.591166,-58.374077,0
DEL1000647080,1/1/2021,10,Hurto (sin violencia),,,85,no,,1100533,Retiro,1,-34.592238,-58.373742,0
DEL1000647081,1/1/2021,9,Robo (con violencia),,,131,si,ARR0217715,1100565,Villa Luro,10,-34.639322,-58.494176,0
DEL1000647082,1/1/2021,11,Hurto (sin violencia),,,173,no,,1100254,Liniers,9,-34.635535,-58.52922,0
DEL1000647083,1/1/2021,10,Robo (con violencia),,,172,si,ARR0217716,1100148,Villa Gral. Mitre,11,-34.606152,-58.475039,0
DEL1000647084,1/1/2021,11,Robo (con violencia),,,45,si,ARR0217717,1100003,Villa Soldati,8,-34.650976,-58.444618,0
DEL1000647085,1/1/2021,12,Hurto (sin violencia),,,139,no,,1100429,Villa Devoto,11,-34.608505,-58.516222,0
DEL1000647086,1/1/2021,9,Hurto (sin violencia),Hurto Automotor,,173,si,ARR0217718,1100083,Villa Crespo,15,-34.601547,-58.450309,0
DEL1000647087,1/1/2021,10,Robo (con violencia),,,153,si,ARR0217719,1100367,Nueva Pompeya,4,-34.650456,-58.404669,0
DEL1000647088,1/1/2021,16,Robo (con violencia),,,149,no,,1100171,Villa Crespo,15,-34.60491,-58.456518,0
DEL1000647089,1/1/2021,6,Robo (con violencia),,,22,no,,1100216,Parque Patricios,4,-34.637121,-58.405611,0
DEL1000647090,1/1/2021,3,Robo (con violencia),,,72,no,,1100334,Caballito,6,-34.624337,-58.441668,0
DEL1000647091,1/1/2021,13,Robo (con violencia),,,62,no,,1100306,Recoleta,2,-34.59585,-58.395569,0
DEL1000647092,1/1/2021,9,Robo (con violencia),,,94,si,ARR0217720,1100054,Mataderos,9,-34.667959,-58.493606,0
DEL1000647093,1/1/2021,6,Robo (con violencia),,,54,no,,1100263,Flores,7,-34.646463,-58.450195,0
DEL1000647094,1/1/2021,14,Hurto (sin violencia),,,105,no,,1100375,Recoleta,2,-34.587545,-58.387091,0
DEL1000647095,1/1/2021,21,Hurto (sin violencia),,,61,no,,1100268,San Cristóbal,3,-34.619792,-58.401391,0
DEL1000647096,1/1/2021,12,Robo (con violencia),,Arma de fuego,109,no,,1100295,Belgrano,13,-34.541608,-58.44324,0
DEL1000647097,1/1/2021,7,Hurto (sin violencia),,,102,no,,1100111,Monserrat,1,-34.616741,-58.387061,0
DEL1000647098,1/1/2021,7,Hurto (sin violencia),Hurto Automotor,,82,no,,1100389,Retiro,1,-34.594662,-58.38697,0
DEL1000647099,1/1/2021,15,Robo (con violencia),,,28,no,,1100426,Monserrat,1,-34.610118,-58.388897,0
DEL1000647100,1/1/2021,16,Robo (con violencia),,,110,si,ARR0217721,1100077,Recoleta,2,-34.59382,-58.406876,0
DEL1000647101,1/1/2021,5,Robo (con violencia),,,75,si,ARR0217722,1100335,Flores,7,-34.626799,-58.455058,0
DEL1000647102,1/1/2021,12,Robo (con violencia),,,176,no,,1100194,Colegiales,13,-34.573106,-58.443494,0
DEL1000647103,1/1/2021,13,Robo (con violencia),,,174,no,,1100151,Villa Lugano,8,-34.674789,-58.466394,0
DEL1000647104,1/1/2021,17,Robo (con violencia),,Arma de fuego,106,no,,1100539,San Cristóbal,3,-34.623342,-58.412057,0
DEL1000647105,1/1/2021,4,Robo (con violencia),,,85,si,ARR0217723,1100206,Parque Chacabuco,7,-34.635965,-58.428732,0
DEL1000647106,1/1/2021,11,Hurto (sin violencia),,,109,no,,1100163,Saavedra,12,-34.550453,-58.48473,0
DEL1000647107,1/1/2021,15,Robo (con violencia),,,155,si,ARR0217724,1100009,Palermo,14,-34.5928,-58.414826,0
DEL1000647108,1/1/2021,6,Robo (con violencia),Con uso de moto,,160,no,,1100071,Almagro,5,-34.616685,-58.420327,0
DEL1000647109,1/1/2021,2,Robo (con violencia),,,46,no,,1100384,Palermo,14,-34.57476,-58.443196,0
DEL1000647110,1/1/2021,15,Hurto (sin violencia),,,173,no,,1100088,Palermo,14,-34.583339,-58.405472,0
DEL1000647111,1/1/2021,1,Robo (con violencia),Con uso de moto,,40,si,ARR0217725,1100212,Almagro,5,-34.607345,-58.413942,0
DEL1000647112,1/1/2021,2,Hurto (sin violencia),,,68,no,,1100065,Boca,4,-34.631517,-58.368104,0
DEL1000647113,1/1/2021,6,Robo (con violencia),,Arma cortante,131,no,,1100558,Villa Lugano,8,-34.68195,-58.483112,0
DEL1000647114,1/1/2021,19,Hurto (sin violencia),,,116,no,,1100330,Vélez Sársfield,10,-34.635986,-58.485202,0
DEL1000647115,1/1/2021,20,Hurto (sin violencia),,,57,si,ARR0217726,1100330,Villa Soldati,8,-34.664933,-58.443171,0
DEL1000647116,1/1/2021,2,Hurto (sin violencia),,,169,si,ARR0217727,1100264,Villa Luro,10,-34.643755,-58.500971,0
DEL1000647117,1/1/2021,20,Robo (con violencia),,,113,no,,1100216,Almagro,5,-34.605575,-58.414834,0
DEL1000647118,1/1/2021,19,Hurto (sin violencia),,,174,no,,1100358,Villa Lugano,8,-34.663572,-58.472185,0
DEL1000647119,1/1/2021,19,Robo (con violencia),,,168,si,ARR0217728,1100086,Belgrano,13,-34.569228,-58.457733,0
DEL1000647120,1/1/2021,21,Hurto (sin violencia),,,88,no,,1100005,Caballito,6,-34.625448,-58.429462,0
DEL1000647121,1/1/2021,19,Hurto (sin violencia),,,148,no,,1100273,Palermo,14,-34.58284,-58.405744,0
DEL1000647122,1/1/2021,22,Robo (con violencia),,,144,si,ARR0217729,1100333,Nueva Pompeya,4,-34.64793,-58.419324,0
DEL1000647123,1/1/2021,20,Robo (con violencia),,,73,si,ARR0217730,1100058,Parque Avellaneda,9,-34.645853,-58.48436,0
DEL1000647124,1/1/2021,22,Robo (con violencia),,Arma de fuego,118,no,,1100323,Parque Patricios,4,-34.644694,-58.412986,0
DEL1000647125,1/1/2021,21,Robo (con violencia),,Arma de fuego,125,no,,1100112,Villa Soldati,8,-34.66197,-58.44563,0
DEL1000647126,1/1/2021,22,Hurto (sin violencia),,,151,no,,1100442,Recoleta,2,-34.589292,-58.401899,0
DEL1000647127,1/1/2021,13,Hurto (sin violencia),,,179,no,,1100213,Villa Del Parque,11,-34.603494,-58.488171,0
DEL1000647128,1/1/2021,22,Robo (con violencia),,,171,si,ARR0217731,1100491,Colegiales,13,-34.574,-58.455107,0
DEL1000647129,1/1/2021,6,Hurto (sin violencia),,,124,si,ARR0217732,1100580,Villa Soldati,8,-34.656701,-58.459842,0
DEL1000647130,1/1/2021,23,Robo (con violencia),,Arma cortante,173,no,,1100147,Flores,7,-34.623361,-58.462218,0
DEL1000647131,1/1/2021,8,Hurto (sin violencia),,,26,no,,1100472,Barracas,4,-34.633303,-58.376658,0
DEL1000647132,1/1/2021,11,Hurto (sin violencia),,,160,no,,1100262,Recoleta,2,-34.599291,-58.386871,0
DEL1000647133,1/1/2021,12,Hurto (sin violencia),Hurto Automotor,,47,si,ARR0217733,1100324,Mataderos,9,-34.649974,-58.50679,0
DEL1000647134,1/1/2021,12,Robo (con violencia),,,74,si,ARR0217734,1100202,Palermo,14,-34.576994,-58.401716,0
DEL1000647135,1/1/2021,22,Robo (con violencia),,,164,si,ARR0217735,1100139,Flores,7,-34.651187,-58.443326,0
DEL1000647136,1/1/2021,18,Robo (con violencia),,,77,si,ARR0217736,1100102,Boedo,5,-34.62682,-58.42496,0
DEL1000647137,1/1/2021,19,Robo (con violencia),Con uso de moto,Arma de fuego,155,no,,1100187,Nueva Pompeya,4,-34.652237,-58.419854,0
DEL1000647138,1/1/2021,12,Robo (con violencia),,Arma cortante,26,no,,1100467,Villa Lugano,8,-34.674789,-58.466394,0
DEL1000647139,1/1/2021,20,Robo (con violencia),,,29,si,ARR0217737,1100330,Retiro,1,-34.583505,-58.380487,0
DEL1000647140,1/1/2021,22,Robo (con violencia),,Arma de fuego,53,no,,1100552,Flores,7,-34.655488,-58.43842,0
DEL1000647141,1/1/2021,8,Robo (con violencia),,,154,si,ARR0217738,1100564,Parque Chacabuco,7,-34.637095,-58.448991,0
DEL1000647142,1/1/2021,12,Robo (con violencia),,,77,no,,1100175,San Cristóbal,3,-34.62208,-58.399578,0
DEL1000647143,1/1/2021,13,Robo (con violencia),,,86,si,ARR0217739,1100250,Recoleta,2,-34.596624,-58.402772,0
DEL1000647144,1/1/2021,22,Robo (con violencia),,Arma cortante,39,no,,1100559,Constitución,1,-34.624656,-58.383634,0
DEL1000647145,1/1/2021,6,Robo (con violencia),,,49,si,ARR0217740,1100213,Nueva Pompeya,4,-34.654863,-58.416418,0
DEL1000647146,1/1/2021,19,Robo (con violencia),,,86,no,,1100073,Villa Soldati,8,-34.658739,-58.453068,0
DEL1000647147,1/1/2021,8,Robo (con violencia),,,31,si,ARR0217741,1100289,Villa Lugano,8,-34.665746,-58.478409,0
DEL1000647148,1/1/2021,19,Robo (con violencia),,,33,si,ARR0217742,1100021,Constitución,1,-34.624645,-58.380897,0
DEL1000647149,1/1/2021,17,Hurto (sin violencia),,,158,no,,1100518,Villa Crespo,15,-34.599054,-58.447849,0
DEL1000647150,1/1/2021,20,Hurto (sin violencia),,,40,si,ARR0217743,1100317,Palermo,14,-34.58058,-58.422607,0
DEL1000647151,1/1/2021,23,Robo (con violencia),,,89,si,ARR0217744,1100337,Nueva Pompeya,4,-34.641575,-58.416109,0
DEL1000647152,1/1/2021,16,Hurto (sin violencia),,,159,no,,1100168,Boedo,5,-34.628924,-58.423189,0
DEL1000647153,1/1/2021,15,Robo (con violencia),,,73,si,ARR0217745,1100289,Villa Devoto,11,-34.601778,-58.518021,0
DEL1000647154,1/1/2021,1,Robo (con violencia),,,146,si,ARR0217746,1100484,Chacarita,15,-34.587177,-58.455584,0
DEL1000647155,1/1/2021,10,Robo (con violencia),,,86,si,ARR0217747,1100229,Flores,7,-34.628027,-58.464644,0
DEL1000647156,1/1/2021,10,Hurto (sin violencia),,,132,no,,1100042,Mataderos,9,-34.647953,-58.501852,0
DEL1000647157,1/1/2021,12,Robo (con violencia),,,27,no,,1100428,Palermo,14,-34.591577,-58.420526,0
DEL1000647158,1/1/2021,9,Hurto (sin violencia),,,141,no,,1100425,Parque Chas,15,-34.588683,-58.474677,0
DEL1000647159,1/1/2021,10,Hurto (sin violencia),,,46,si,ARR0217748,1100400,Paternal,15,-34.600899,-58.461559,0
DEL1000647160,1/1/2021,13,Robo (con violencia),,,167,no,,1100120,Almagro,5,-34.613835,-58.429525,0
DEL1000647161,1/1/2021,11,Hurto (sin violencia),,,124,no,,1100078,Almagro,5,-34.601158,-58.428388,0
DEL1000647162,1/1/2021,11,Robo (con violencia),,,139,no,,1100059,Palermo,14,-34.588327,-58.435175,0
DEL1000647163,1/1/2021,10,Robo (con violencia),Con uso de moto,,113,si,ARR0217749,1100204,Boedo,5,-34.62259,-58.417948,0
DEL1000647164,1/1/2021,6,Robo (con violencia),,,67,si,ARR0217750,1100286,Nueva Pompeya,4,-34.642198,-58.432259,0
DEL1000647165,1/1/2021,21,Hurto (sin violencia),,,153,si,ARR0217751,1100070,Parque Chacabuco,7,-34.628922,-58.430636,0
DEL1000647166,1/1/2021,16,Robo (con violencia),,,117,no,,1100206,Boedo,5,-34.632888,-58.417651,0
DEL1000647167,1/1/2021,10,Robo (con violencia),,,52,si,ARR0217752,1100146,Barracas,4,-34.65143,-58.396622,0
DEL1000647168,1/1/2021,12,Robo (con violencia),,,176,si,ARR0217753,1100061,Retiro,1,-34.597296,-58.376886,0
DEL1000647170,1/1/2021,5,Robo (con violencia),,Arma cortante,85,no,,1100384,Parque Patricios,4,-34.638344,-58.405401,0
DEL1000647171,1/1/2021,2,Hurto (sin violencia),Hurto Automotor,,139,si,ARR0217754,1100399,Saavedra,12,-34.549711,-58.476096,0
DEL1000647173,1/1/2021,19,Robo (con violencia),,,144,no,,1100266,Caballito,6,-34.620456,-58.441037,0
DEL1000647174,1/1/2021,18,Hurto (sin violencia),,,29,si,ARR0217756,1100449,Colegiales,13,-34.575575,-58.446344,0
DEL1000647175,1/1/2021,10,Hurto (sin violencia),,,121,no,,1100248,Flores,7,-34.642828,-58.458248,0
DEL1000647176,1/1/2021,7,Hurto (sin violencia),,,41,no,,1100232,Barracas,4,-34.64349,-58.373461,0
DEL1000647177,1/1/2021,12,Robo (con violencia),,,93,no,,1100479,Flores,7,-34.651959,-58.433018,0
DEL1000647178,1/1/2021,6,Hurto (sin violencia),,,54,si,ARR0217757,1100450,Villa Lugano,8,-34.682879,-58.47204,0
DEL1000647179,1/1/2021,12,Robo (con violencia),,,106,si,ARR0217758,1100320,Balvanera,3,-34.600161,-58.398803,0
DEL1000647180,1/1/2021,7,Hurto (sin violencia),,,95,no,,1100324,Floresta,10,-34.630196,-58.480188,0
DEL1000647181,1/1/2021,20,Hurto (sin violencia),,,146,si,ARR0217759,1100582,Caballito,6,-34.622945,-58.439148,0
DEL1000647182,1/1/2021,8,Robo (con violencia),,,26,si,ARR0217760,1100442,Parque Chacabuco,7,-34.636951,-58.43929,0
DEL1000647183,1/1/2021,2,Robo (con violencia),,Arma cortante,133,no,,1100450,Recoleta,2,-34.576448,-58.389373,0
DEL1000647184,1/1/2021,0,Hurto (sin violencia),,,42,no,,1100131,San Telmo,1,-34.622377,-58.373339,0
DEL1000647185,1/1/2021,0,Hurto (sin violencia),,,178,no,,1100032,Villa Del Parque,11,-34.599856,-58.486852,0
DEL1000647186,1/1/2021,8,Hurto (sin violencia),,,89,si,ARR0217761,1100472,Palermo,14,-34.569348,-58.442757,0
DEL1000647187,1/2/2021,12,Lesiones,Siniestro Vial,,157,si,ARR0217762,1100499,Villa Crespo,15,-34.598113,-58.430055,0
DEL1000647188,1/2/2021,10,Lesiones,Siniestro Vial,,136,si,ARR0217763,1100544,Coghlan,12,-34.556195,-58.476413,0
DEL1000647189,1/2/2021,11,Lesiones,Siniestro Vial,,123,no,,1100266,Villa Urquiza,12,-34.576067,-58.485011,1
DEL1000647190,1/2/2021,19,Lesiones,Siniestro Vial,,40,si,ARR0217764,1100325,Nueva Pompeya,4,-34.642823,-58.422818,0
DEL1000647191,1/2/2021,22,Lesiones,Siniestro Vial,,107,no,,1100547,Versalles,10,-34.630714,-58.527931,1
DEL1000647192,1/2/2021,1,Robo (con violencia),,,146,si,ARR0217765,1100498,Parque Avellaneda,9,-34.639979,-58.481522,0
DEL1000647193,1/2/2021,1,Robo (con violencia),,,49,si,ARR0217766,1100514,Villa Devoto,11,-34.616562,-58.517411,0
DEL1000647194,1/2/2021,1,Robo (con violencia),,Arma cortante,146,no,,1100097,Caballito,6,-34.614014,-58.430089,0
DEL1000647195,1/2/2021,3,Robo (con violencia),,Arma cortante,51,no,,1100213,Retiro,1,-34.581731,-58.381263,0
DEL1000647196,1/2/2021,5,Robo (con violencia),Robo Automotor,Arma de fuego,22,no,,1100422,Barracas,4,-34.648116,-58.378817,0
DEL1000647197,1/2/2021,4,Robo (con violencia),,Arma de fuego,120,no,,1100596,Flores,7,-34.647291,-58.455909,0
DEL1000647198,1/2/2021,5,Robo (con violencia),,,86,si,ARR0217767,1100569,Villa Urquiza,12,-34.565407,-58.487246,0
DEL1000647199,1/2/2021,5,Robo (con violencia),,,87,no,,1100407,Parque Patricios,4,-34.6408,-58.391614,0
DEL1000647200,1/2/2021,5,Robo (con violencia),Robo Automotor,Arma de fuego,70,no,,1100252,Barracas,4,-34.643028,-58.386852,0
DEL1000647201,1/2/2021,5,Robo (con violencia),,,159,si,ARR0217768,1100358,Balvanera,3,-34.602007,-58.397349,0
DEL1000647202,1/2/2021,6,Robo (con violencia),,,75,si,ARR0217769,1100054,Villa Soldati,8,-34.659592,-58.449762,0
DEL1000647203,1/2/2021,8,Robo (con violencia),,,23,si,ARR0217770,1100547,Constitución,1,-34.627903,-58.382473,0
DEL1000647204,1/2/2021,7,Robo (con violencia),Con uso de moto,,55,si,ARR0217771,1100568,Villa Real,10,-34.622176,-58.520469,0
DEL1000647205,1/2/2021,5,Hurto (sin violencia),,,137,no,,1100285,Nuñez,13,-34.55388,-58.465105,0
DEL1000647206,1/2/2021,8,Robo (con violencia),,,179,si,ARR0217772,1100213,Balvanera,3,-34.601594,-58.403492,0
DEL1000647207,1/2/2021,5,Hurto (sin violencia),,,26,no,,1100276,Villa Crespo,15,-34.593829,-58.430956,0
DEL1000647208,1/2/2021,9,Hurto (sin violencia),Hurto Automotor,,83,si,ARR0217773,1100044,Villa Lugano,8,-34.683027,-58.464004,0
DEL1000647209,1/2/2021,10,Robo (con violencia),,,136,si,ARR0217774,1100034,Villa Crespo,15,-34.59539,-58.4377,0
DEL1000647210,1/2/2021,10,Hurto (sin violencia),,,177,no,,1100118,Monserrat,1,-34.612849,-58.377589,0
DEL1000647211,1/2/2021,9,Robo (con violencia),Con uso de moto,,25,si,ARR0217775,1100502,Balvanera,3,-34.607237,-58.397856,0
DEL1000647212,1/2/2021,11,Hurto (sin violencia),,,51,no,,1100398,Colegiales,13,-34.573827,-58.449803,0
DEL1000647213,1/2/2021,2,Robo (con violencia),,,48,no,,1100379,Palermo,14,-34.564014,-58.438125,0
DEL1000647214,1/2/2021,10,Robo (con violencia),,,88,no,,1100040,Colegiales,13,-34.580672,-58.446414,0
DEL1000647215,1/2/2021,11,Hurto (sin violencia),,,149,si,ARR0217776,1100321,Villa Soldati,8,-34.678543,-58.452074,0
DEL1000647216,1/2/2021,13,Hurto (sin violencia),,,91,si,ARR0217777,1100427,Villa Lugano,8,-34.678116,-58.491265,0
DEL1000647217,1/2/2021,11,Robo (con violencia),,,178,si,ARR0217778,1100095,Recoleta,2,-34.594301,-58.402556,0
DEL1000647218,1/2/2021,12,Hurto (sin violencia),,,155,si,ARR0217779,1100103,Coghlan,12,-34.562059,-58.468329,0
DEL1000647219,1/2/2021,10,Hurto (sin violencia),,,53,no,,1100588,Parque Chas,15,-34.588336,-58.483551,0
DEL1000647220,1/2/2021,14,Robo (con violencia),,,177,no,,1100037,Villa Crespo,15,-34.5978,-58.438771,0
DEL1000647221,1/2/2021,11,Robo (con violencia),,,55,si,ARR0217780,1100168,Barracas,4,-34.646862,-58.388841,0
DEL1000647222,1/2/2021,14,Robo (con violencia),,,140,no,,1100346,Villa Soldati,8,-34.661154,-58.450141,0
DEL1000647223,1/2/2021,12,Hurto (sin violencia),,,167,si,ARR0217781,1100193,Villa Lugano,8,-34.662694,-58.471723,0
DEL1000647224,1/2/2021,9,Hurto (sin violencia),,,59,si,ARR0217782,1100061,Saavedra,12,-34.546813,-58.47718,0
DEL1000647225,1/2/2021,13,Robo (con violencia),,Arma cortante,120,no,,1100448,Nueva Pompeya,4,-34.652962,-58.416198,0
DEL1000647226,1/2/2021,14,Robo (con violencia),Robo Automotor,Arma de fuego,135,no,,1100413,Parque Patricios,4,-34.634096,-58.401263,0
DEL1000647227,1/2/2021,11,Hurto (sin violencia),Hurto Automotor,,124,no,,1100563,Boca,4,-34.625416,-58.360949,0
DEL1000647228,1/2/2021,15,Robo (con violencia),Con uso de moto,,70,no,,1100008,Barracas,4,-34.635514,-58.389804,0
DEL1000647229,1/2/2021,14,Hurto (sin violencia),Hurto Automotor,,66,no,,1100404,Villa Lugano,8,-34.662298,-58.468676,0
DEL1000647230,1/2/2021,12,Hurto (sin violencia),,,147,no,,1100463,Constitución,1,-34.622453,-58.388358,0
DEL1000647231,1/2/2021,12,Hurto (sin violencia),,,159,no,,1100234,Villa Devoto,11,-34.586808,-58.511411,0
DEL1000647232,1/2/2021,16,Hurto (sin violencia),,,162,no,,1100247,Belgrano,13,-34.56155,-58.445219,0
DEL1000647233,1/2/2021,8,Hurto (sin violencia),,,86,no,,1100052,Monte Castro,10,-34.61899,-58.499261,0
DEL1000647234,1/2/2021,16,Hurto (sin violencia),,,59,no,,1100509,Caballito,6,-34.622735,-58.430657,0
DEL1000647235,1/2/2021,16,Hurto (sin violencia),,,73,si,ARR0217783,1100026,Balvanera,3,-34.603342,-58.405162,0
DEL1000647236,1/2/2021,16,Hurto (sin violencia),,,180,no,,1100398,Liniers,9,-34.644919,-58.511859,0
DEL1000647237,1/2/2021,16,Robo (con violencia),,,67,no,,1100597,Recoleta,2,-34.582982,-58.398755,0
DEL1000647238,1/2/2021,15,Robo (con violencia),Con uso de moto,,146,no,,1100117,Versalles,10,-34.63282,-58.515265,0
DEL1000647239,1/2/2021,16,Hurto (sin violencia),,,177,si,ARR0217784,1100455,Belgrano,13,-34.554343,-58.453276,0
DEL1000647240,1/2/2021,17,Robo (con violencia),,,157,no,,1100255,Palermo,14,-34.578247,-58.43028,0
DEL1000647241,1/2/2021,13,Robo (con violencia),,,174,si,ARR0217785,1100242,Palermo,14,-34.579877,-58.409838,0
DEL1000647242,1/2/2021,15,Robo (con violencia),,,42,no,,1100047,Almagro,5,-34.616068,-58.427397,0
DEL1000647243,1/2/2021,16,Hurto (sin violencia),Hurto Automotor,,178,no,,1100521,Caballito,6,-34.62592,-58.448792,0
DEL1000647244,1/2/2021,15,Robo (con violencia),,,93,no,,1100497,Palermo,14,-34.580399,-58.411624,0
DEL1000647245,1/2/2021,18,Robo (con violencia),,,115,no,,1100445,Villa Soldati,8,-34.658319,-58.453563,0
DEL1000647246,1/2/2021,17,Robo (con violencia),,,174,no,,1100584,Colegiales,13,-34.576042,-58.448375,0
DEL1000647247,1/2/2021,17,Hurto (sin violencia),,,154,no,,1100281,Palermo,14,-34.589103,-58.427675,0
DEL1000647248,1/2/2021,12,Robo (con violencia),,,150,no,,1100579,Recoleta,2,-34.59362,-58.404766,0
DEL1000647249,1/2/2021,2,Robo (con violencia),,,49,si,ARR0217786,1100340,Colegiales,13,-34.573484,-58.44483,0
DEL1000647250,1/2/2021,17,Robo (con violencia),,,156,si,ARR0217787,1100316,Balvanera,3,-34.610538,-58.411738,0
DEL1000647251,1/2/2021,16,Robo (con violencia),,,161,no,,1100056,Villa Lugano,8,-34.674468,-58.468946,0
DEL1000647252,1/2/2021,18,Hurto (sin violencia),,,75,no,,1100171,Nuñez,13,-34.545095,-58.460479,0
DEL1000647253,1/2/2021,19,Robo (con violencia),,Arma de fuego,164,no,,1100027,Nueva Pompeya,4,-34.653795,-58.410223,0
DEL1000647254,1/2/2021,18,Robo (con violencia),,,59,no,,1100063,Liniers,9,-34.633628,-58.520741,0
DEL1000647255,1/2/2021,18,Robo (con violencia),,,98,si,ARR0217788,1100152,Caballito,6,-34.616395,-58.437492,0
DEL1000647256,1/2/2021,4,Hurto (sin violencia),,,29,no,,1100156,Villa Lugano,8,-34.673609,-58.473206,0
DEL1000647257,1/2/2021,19,Robo (con violencia),,,101,no,,1100462,Retiro,1,-34.578211,-58.386131,0
DEL1000647258,1/2/2021,15,Hurto (sin violencia),,,159,si,ARR0217789,1100322,Villa Lugano,8,-34.671986,-58.467137,0
DEL1000647259,1/2/2021,10,Robo (con violencia),,,102,no,,1100459,Villa Lugano,8,-34.665273,-58.47213,0
